id,tl,artproc,artsurf,basal,otolith
1,550,6,9,8,9
2,485,8,9,8,8
3,525,8,9,8,10
4,413,4,4,4,4
5,560,9,10,10,9
6,468,8,8,7,8
7,521,6,9,7,8
8,450,6,8,6,6
9,465,8,8,7,9
10,545,9,10,10,10
11,290,2,3,2,3
12,594,8,9,8,7
13,402,4,4,4,3
14,472,4,8,8,9
15,471,4,6,7,8
16,277,2,3,3,3
17,535,6,8,7,7
18,651,10,13,11,14
19,540,7,9,10,10
20,606,8,11,8,13
21,579,8,8,8,12
22,391,3,4,4,4
23,482,7,7,7,7
24,450,7,8,8,7
25,420,3,4,4,4
26,592,10,10,10,10
27,657,9,11,9,14
28,265,2,3,2,2
29,554,7,9,7,8
30,781,11,11,9,15
31,540,5,8,8,7
32,392,3,4,4,2
33,340,3,4,4,4
34,496,7,9,8,8
35,530,6,9,9,14
36,417,3,4,4,3
37,375,,4,4,4
38,295,2,3,3,3
39,529,7,8,8,8
40,340,3,4,4,4
41,445,5,7,8,8
42,375,2,4,4,4
43,482,6,8,8,7
44,476,7,8,8,
45,309,3,3,3,3
46,380,3,4,4,4
47,296,2,3,3,3
48,457,6,8,8,8
49,364,3,4,4,
50,412,3,4,4,4
51,354,3,4,4,3
52,309,3,3,4,3
53,327,3,3,3,3
54,345,3,4,4,4
55,327,4,4,4,4
56,271,2,2,2,2
57,755,8,12,10,
58,555,7,8,7,8
59,277,1,2,2,2
60,508,7,8,8,8
61,672,11,11,12,14
62,335,2,3,3,2
63,380,3,4,4,3
64,370,3,4,3,3
65,322,2,3,2,3
66,390,3,4,4,4
67,296,2,2,2,2
68,278,1,2,2,1
69,259,2,3,2,2
70,275,2,2,2,2
71,245,1,2,2,1
72,310,,3,3,3
73,240,2,2,2,2
74,557,8,9,9,10
75,240,2,2,2,2
76,535,6,10,10,11
77,521,7,10,9,10
78,635,11,11,12,14
79,540,8,9,9,10
80,617,11,12,12,13
81,602,9,11,10,13
82,580,8,9,9,9
83,565,8,11,9,9
84,615,8,9,10,12
85,600,10,11,11,14
86,643,11,12,11,13
87,267,3,2,2,2
88,260,2,2,2,2
89,565,6,11,8,9
90,660,10,14,10,
91,462,6,7,8,7
92,556,6,5,5,7
93,560,9,9,9,13
94,535,8,10,10,11
95,836,13,13,12,14
96,515,7,8,8,7
97,610,9,8,6,14
98,725,12,12,11,14
99,681,9,11,10,10
100,602,10,8,10,14
101,590,9,10,11,10
102,622,11,11,10,14
103,751,16,14,15,18
104,705,7,10,9,
105,790,18,18,18,19
106,733,13,,11,14
107,765,9,12,11,14
108,715,9,12,11,13
109,1066,15,14,15,19
110,938,17,17,16,19
111,640,,,,14
112,630,9,11,11,13
113,630,9,12,11,
114,585,10,11,10,11
115,695,11,9,8,11
116,675,10,12,13,14
117,642,7,13,10,15
118,880,12,17,13,18
119,900,15,16,16,16
120,936,13,15,12,17
121,964,13,14,12,13
122,952,12,14,11,
123,940,10,15,14,17
124,876,12,13,15,18
125,876,9,12,10,13
126,970,11,15,14,18
