id,cmgroup,age,struc
1001,180,1,artproc
1002,200,1,artproc
1003,300,3,artproc
1004,310,2,artproc
1005,380,3,artproc
1006,390,3,artproc
1007,490,8,artproc
1008,530,7,artproc
1009,540,7,artproc
1010,550,6,artproc
1011,640,8,artproc
1012,401,3,artproc
1013,280,2,artproc
1014,300,2,artproc
1015,190,1,artproc
1016,233,1,artproc
1017,240,3,artproc
1018,360,3,artproc
1019,420,4,artproc
1020,590,9,artproc
1021,890,9,artproc
1022,900,12,artproc
1023,240,2,artproc
1024,270,2,artproc
1025,300,2,artproc
1026,370,3,artproc
1027,410,4,artproc
1028,540,8,artproc
1029,210,1,artproc
1030,180,1,artproc
1031,260,2,artproc
1032,270,2,artproc
1033,210,1,artproc
1034,280,2,artproc
1035,300,3,artproc
1036,320,3,artproc
1037,530,6,artproc
1038,539,6,artproc
1039,230,2,artproc
1040,240,2,artproc
1041,260,2,artproc
1042,270,2,artproc
1043,290,2,artproc
1044,240,1,artproc
1045,250,2,artproc
1046,280,2,artproc
1047,590,8,artproc
1048,180,1,artproc
1049,210,1,artproc
1050,270,2,artproc
1051,280,2,artproc
1052,360,3,artproc
1053,470,8,artproc
1054,500,7,artproc
1055,210,1,artproc
1056,240,2,artproc
1057,260,2,artproc
1058,490,9,artproc
1059,530,6,artproc
1060,170,1,artproc
1061,350,3,artproc
1062,360,3,artproc
1063,380,3,artproc
1064,400,4,artproc
1065,430,6,artproc
1066,470,8,artproc
1067,480,6,artproc
1068,540,6,artproc
1069,190,1,artproc
1070,160,1,artproc
1071,300,2,artproc
1072,410,3,artproc
1073,430,6,artproc
1074,450,6,artproc
1075,160,1,artproc
1076,230,1,artproc
1077,250,2,artproc
1078,260,3,artproc
1079,280,2,artproc
1080,290,2,artproc
1081,230,2,artproc
1082,260,2,artproc
1083,490,7,artproc
1084,200,1,artproc
1085,210,2,artproc
1086,240,2,artproc
1087,250,2,artproc
1088,260,1,artproc
1089,310,2,artproc
1090,430,3,artproc
1091,200,1,artproc
1092,440,3,artproc
1093,500,5,artproc
1094,570,8,artproc
1095,590,10,artproc
1096,620,10,artproc
1097,680,9,artproc
1098,760,13,artproc
1099,800,10,artproc
1100,895,17,artproc
1101,210,1,artproc
1102,220,1,artproc
1103,250,2,artproc
1104,290,2,artproc
1105,300,3,artproc
1106,160,1,artproc
1107,200,1,artproc
1108,210,2,artproc
1109,160,1,artproc
1110,230,1,artproc
1111,160,1,artproc
1112,150,2,artproc
1113,250,2,artproc
1114,490,7,artproc
1115,230,1,artproc
1116,280,2,artproc
1117,430,7,artproc
1118,260,2,artproc
1119,440,8,artproc
1120,460,8,artproc
1121,470,4,artproc
1122,480,7,artproc
1123,590,9,artproc
1124,438,4,artproc
1125,270,2,artproc
1126,290,2,artproc
1127,310,2,artproc
1128,240,1,artproc
1129,250,3,artproc
1130,540,7,artproc
1131,250,2,artproc
1132,380,3,artproc
1133,400,3,artproc
1134,410,3,artproc
1135,420,3,artproc
1136,460,7,artproc
1137,170,1,artproc
1138,230,2,artproc
1139,240,1,artproc
1140,250,1,artproc
1141,260,3,artproc
1142,270,2,artproc
1143,280,2,artproc
1144,420,6,artproc
1145,440,7,artproc
1146,450,4,artproc
1147,460,6,artproc
1148,480,7,artproc
1149,490,6,artproc
1150,580,10,artproc
1151,590,7,artproc
1152,180,1,artproc
1153,170,2,artproc
1154,140,1,artproc
1155,310,3,artproc
1156,360,3,artproc
1157,400,3,artproc
1158,460,4,artproc
1159,480,7,artproc
1160,160,1,artproc
1161,170,1,artproc
1162,220,1,artproc
1163,230,2,artproc
1164,250,2,artproc
1165,190,1,artproc
1166,240,1,artproc
1167,290,3,artproc
1168,300,3,artproc
1169,490,6,artproc
1170,940,13,artproc
1171,180,2,artproc
1172,210,1,artproc
1173,260,2,artproc
1174,270,2,artproc
1175,290,2,artproc
1176,350,3,artproc
1177,440,6,artproc
1178,630,8,artproc
1179,150,1,artproc
1180,180,1,artproc
1181,200,1,artproc
1182,280,2,artproc
1183,300,2,artproc
1184,170,2,artproc
1185,210,1,artproc
1186,220,2,artproc
1187,900,13,artproc
1188,250,1,artproc
1189,270,2,artproc
1190,280,2,artproc
1191,390,3,artproc
1192,400,3,artproc
1193,410,3,artproc
1194,430,6,artproc
1195,440,7,artproc
1196,450,6,artproc
1197,150,1,artproc
1198,250,2,artproc
1199,260,2,artproc
1200,280,1,artproc
1201,380,3,artproc
1202,160,1,artproc
1203,170,1,artproc
1204,180,1,artproc
1205,290,1,artproc
1206,300,2,artproc
1207,190,1,artproc
1208,150,1,artproc
1209,200,1,artproc
1210,240,2,artproc
1211,270,2,artproc
1212,280,2,artproc
1213,310,3,artproc
1214,460,7,artproc
1215,480,8,artproc
1216,500,6,artproc
1217,560,7,artproc
1218,170,1,artproc
1219,220,1,artproc
1220,230,1,artproc
1221,240,1,artproc
1222,270,2,artproc
1223,280,1,artproc
1224,290,2,artproc
1225,300,2,artproc
1226,420,6,artproc
1227,450,6,artproc
1228,510,7,artproc
1229,890,18,artproc
1230,1170,15,artproc
1231,240,2,artproc
1232,540,8,artproc
1233,220,2,artproc
1234,240,2,artproc
1235,250,2,artproc
1236,520,6,artproc
1237,190,1,artproc
1238,180,1,artproc
1239,170,2,artproc
1240,160,1,artproc
1241,230,2,artproc
1242,250,2,artproc
1243,590,6,artproc
1244,220,1,artproc
1245,180,1,artproc
1246,200,2,artproc
1247,220,1,artproc
1248,230,2,artproc
1249,280,2,artproc
1250,460,3,artproc
1251,200,1,artproc
1252,310,3,artproc
1253,170,1,artproc
1254,180,1,artproc
1255,210,2,artproc
1256,250,2,artproc
1257,270,2,artproc
1258,280,1,artproc
1259,450,5,artproc
1260,480,8,artproc
1261,520,8,artproc
1262,560,8,artproc
1263,570,10,artproc
1264,600,7,artproc
1265,740,12,artproc
1266,950,17,artproc
1267,180,1,artproc
1268,150,1,artproc
1269,220,2,artproc
1270,910,11,artproc
1271,280,2,artproc
1272,510,7,artproc
1273,530,7,artproc
1274,560,8,artproc
1275,1100,15,artproc
1276,980,17,artproc
1277,230,2,artproc
1278,240,1,artproc
1279,250,1,artproc
1280,280,3,artproc
1281,260,2,artproc
1282,300,3,artproc
1283,520,6,artproc
1284,160,1,artproc
1285,220,2,artproc
1286,230,1,artproc
1287,530,6,artproc
1288,670,10,artproc
1289,770,10,artproc
1290,210,1,artproc
1291,250,1,artproc
1292,190,1,artproc
1293,200,2,artproc
1294,250,2,artproc
1295,260,2,artproc
1296,270,2,artproc
1297,280,2,artproc
1298,310,2,artproc
1299,460,8,artproc
1300,180,2,artproc
1301,170,1,artproc
1302,190,2,artproc
1303,160,1,artproc
1304,220,1,artproc
1305,230,2,artproc
1306,250,2,artproc
1307,280,2,artproc
1308,240,3,artproc
1309,630,11,artproc
1310,970,15,artproc
1311,210,2,artproc
1312,280,2,artproc
1313,390,3,artproc
1314,160,2,artproc
1315,290,2,artproc
1316,300,2,artproc
1317,290,2,artproc
1318,300,3,artproc
1319,310,2,artproc
1320,170,1,artproc
1321,190,1,artproc
1322,280,2,artproc
1323,290,3,artproc
1324,190,2,artproc
1325,220,3,artproc
1326,250,2,artproc
1327,280,2,artproc
1328,570,8,artproc
1329,620,9,artproc
1330,780,18,artproc
1331,170,1,artproc
1332,240,2,artproc
1333,270,2,artproc
1334,290,2,artproc
1335,230,1,artproc
1336,460,4,artproc
1337,230,1,artproc
1338,260,2,artproc
1339,290,3,artproc
1340,410,3,artproc
1341,650,9,artproc
1342,310,3,artproc
1343,460,7,artproc
1344,230,1,artproc
1345,230,1,artproc
1346,290,2,artproc
1347,210,1,artproc
1348,240,2,artproc
1349,250,3,artproc
1350,270,2,artproc
1351,400,3,artproc
1352,230,2,artproc
1353,240,1,artproc
1354,260,2,artproc
1355,290,3,artproc
1356,300,3,artproc
1357,460,6,artproc
1358,510,6,artproc
1359,560,9,artproc
1360,570,7,artproc
1361,580,6,artproc
1362,220,1,artproc
1363,230,2,artproc
1364,250,2,artproc
1365,620,7,artproc
1366,660,8,artproc
1367,900,13,artproc
1368,950,13,artproc
1369,970,12,artproc
1370,210,2,artproc
1371,220,1,artproc
1372,250,2,artproc
1373,260,2,artproc
1374,460,7,artproc
1375,210,1,artproc
1376,240,2,artproc
1377,270,1,artproc
1378,310,3,artproc
1379,460,6,artproc
1380,240,2,artproc
1381,250,2,artproc
1382,260,1,artproc
1383,280,2,artproc
1384,300,2,artproc
1385,390,4,artproc
1386,440,4,artproc
1387,490,7,artproc
1388,230,1,artproc
1389,250,1,artproc
1390,270,1,artproc
1391,280,2,artproc
1392,300,2,artproc
1393,390,3,artproc
1394,410,3,artproc
1395,430,7,artproc
1396,450,4,artproc
1397,490,7,artproc
1398,550,7,artproc
1399,210,1,artproc
1400,230,2,artproc
1401,240,2,artproc
1402,290,2,artproc
1403,310,2,artproc
1404,410,3,artproc
1405,490,7,artproc
1406,500,10,artproc
1407,510,6,artproc
1408,550,6,artproc
1409,570,8,artproc
1410,600,9,artproc
1411,610,9,artproc
1412,730,9,artproc
1413,200,1,artproc
1414,230,2,artproc
1415,260,3,artproc
1416,290,2,artproc
1417,300,2,artproc
1418,330,3,artproc
1419,360,3,artproc
1420,550,8,artproc
1421,160,1,artproc
1422,260,3,artproc
1423,290,3,artproc
1424,410,3,artproc
1425,440,3,artproc
1426,230,1,artproc
1427,260,2,artproc
1428,280,2,artproc
1429,300,3,artproc
1430,370,3,artproc
1431,180,1,artproc
1432,220,1,artproc
1433,240,1,artproc
1434,270,2,artproc
1435,280,2,artproc
1436,300,1,artproc
1437,460,6,artproc
1438,330,3,artproc
1439,340,3,artproc
1440,380,3,artproc
1441,410,4,artproc
1442,430,3,artproc
1443,440,4,artproc
1444,490,8,artproc
1445,510,7,artproc
1446,540,10,artproc
1447,590,8,artproc
1448,640,9,artproc
1449,150,1,artproc
1450,281,1,artproc
1451,240,2,artproc
1452,280,3,artproc
1453,350,3,artproc
1454,390,3,artproc
1455,410,3,artproc
1456,450,7,artproc
1457,470,7,artproc
1458,510,8,artproc
1459,520,8,artproc
1460,540,7,artproc
1461,550,8,artproc
1462,200,1,artproc
1463,250,2,artproc
1464,290,2,artproc
1465,300,3,artproc
1466,330,3,artproc
1467,400,3,artproc
1468,440,5,artproc
1469,190,1,artproc
1470,170,1,artproc
1471,160,1,artproc
1472,240,2,artproc
1473,260,2,artproc
1474,300,2,artproc
1475,330,3,artproc
1476,410,3,artproc
1477,440,6,artproc
1478,460,6,artproc
1479,530,7,artproc
1480,170,1,artproc
1481,180,2,artproc
1482,160,1,artproc
1483,140,1,artproc
1484,300,2,artproc
1485,310,2,artproc
1486,440,4,artproc
1487,260,2,artproc
1488,280,2,artproc
1489,310,2,artproc
1490,410,4,artproc
1491,470,7,artproc
1492,980,13,artproc
1493,230,2,artproc
1494,250,1,artproc
1495,270,2,artproc
1496,280,2,artproc
1497,310,3,artproc
1498,320,3,artproc
1499,380,4,artproc
1500,410,3,artproc
1501,430,6,artproc
1502,540,6,artproc
1503,180,1,artproc
1504,230,1,artproc
1505,240,2,artproc
1506,260,2,artproc
1507,290,2,artproc
1508,300,3,artproc
1509,310,2,artproc
1510,330,2,artproc
1511,410,4,artproc
