id,tl,structure,age
1,550,artproc,6
2,485,artproc,8
3,525,artproc,8
4,413,artproc,4
5,560,artproc,9
6,468,artproc,8
7,521,artproc,6
8,450,artproc,6
9,465,artproc,8
10,545,artproc,9
11,290,artproc,2
12,594,artproc,8
13,402,artproc,4
14,472,artproc,4
15,471,artproc,4
16,277,artproc,2
17,535,artproc,6
18,651,artproc,10
19,540,artproc,7
20,606,artproc,8
21,579,artproc,8
22,391,artproc,3
23,482,artproc,7
24,450,artproc,7
25,420,artproc,3
26,592,artproc,10
27,657,artproc,9
28,265,artproc,2
29,554,artproc,7
30,781,artproc,11
31,540,artproc,5
32,392,artproc,3
33,340,artproc,3
34,496,artproc,7
35,530,artproc,6
36,417,artproc,3
37,375,artproc,
38,295,artproc,2
39,529,artproc,7
40,340,artproc,3
41,445,artproc,5
42,375,artproc,2
43,482,artproc,6
44,476,artproc,7
45,309,artproc,3
46,380,artproc,3
47,296,artproc,2
48,457,artproc,6
49,364,artproc,3
50,412,artproc,3
51,354,artproc,3
52,309,artproc,3
53,327,artproc,3
54,345,artproc,3
55,327,artproc,4
56,271,artproc,2
57,755,artproc,8
58,555,artproc,7
59,277,artproc,1
60,508,artproc,7
61,672,artproc,11
62,335,artproc,2
63,380,artproc,3
64,370,artproc,3
65,322,artproc,2
66,390,artproc,3
67,296,artproc,2
68,278,artproc,1
69,259,artproc,2
70,275,artproc,2
71,245,artproc,1
72,310,artproc,
73,240,artproc,2
74,557,artproc,8
75,240,artproc,2
76,535,artproc,6
77,521,artproc,7
78,635,artproc,11
79,540,artproc,8
80,617,artproc,11
81,602,artproc,9
82,580,artproc,8
83,565,artproc,8
84,615,artproc,8
85,600,artproc,10
86,643,artproc,11
87,267,artproc,3
88,260,artproc,2
89,565,artproc,6
90,660,artproc,10
91,462,artproc,6
92,556,artproc,6
93,560,artproc,9
94,535,artproc,8
95,836,artproc,13
96,515,artproc,7
97,610,artproc,9
98,725,artproc,12
99,681,artproc,9
100,602,artproc,10
101,590,artproc,9
102,622,artproc,11
103,751,artproc,16
104,705,artproc,7
105,790,artproc,18
106,733,artproc,13
107,765,artproc,9
108,715,artproc,9
109,1066,artproc,15
110,938,artproc,17
111,640,artproc,
112,630,artproc,9
113,630,artproc,9
114,585,artproc,10
115,695,artproc,11
116,675,artproc,10
117,642,artproc,7
118,880,artproc,12
119,900,artproc,15
120,936,artproc,13
121,964,artproc,13
122,952,artproc,12
123,940,artproc,10
124,876,artproc,12
125,876,artproc,9
126,970,artproc,11
1,550,artsurf,9
2,485,artsurf,9
3,525,artsurf,9
4,413,artsurf,4
5,560,artsurf,10
6,468,artsurf,8
7,521,artsurf,9
8,450,artsurf,8
9,465,artsurf,8
10,545,artsurf,10
11,290,artsurf,3
12,594,artsurf,9
13,402,artsurf,4
14,472,artsurf,8
15,471,artsurf,6
16,277,artsurf,3
17,535,artsurf,8
18,651,artsurf,13
19,540,artsurf,9
20,606,artsurf,11
21,579,artsurf,8
22,391,artsurf,4
23,482,artsurf,7
24,450,artsurf,8
25,420,artsurf,4
26,592,artsurf,10
27,657,artsurf,11
28,265,artsurf,3
29,554,artsurf,9
30,781,artsurf,11
31,540,artsurf,8
32,392,artsurf,4
33,340,artsurf,4
34,496,artsurf,9
35,530,artsurf,9
36,417,artsurf,4
37,375,artsurf,4
38,295,artsurf,3
39,529,artsurf,8
40,340,artsurf,4
41,445,artsurf,7
42,375,artsurf,4
43,482,artsurf,8
44,476,artsurf,8
45,309,artsurf,3
46,380,artsurf,4
47,296,artsurf,3
48,457,artsurf,8
49,364,artsurf,4
50,412,artsurf,4
51,354,artsurf,4
52,309,artsurf,3
53,327,artsurf,3
54,345,artsurf,4
55,327,artsurf,4
56,271,artsurf,2
57,755,artsurf,12
58,555,artsurf,8
59,277,artsurf,2
60,508,artsurf,8
61,672,artsurf,11
62,335,artsurf,3
63,380,artsurf,4
64,370,artsurf,4
65,322,artsurf,3
66,390,artsurf,4
67,296,artsurf,2
68,278,artsurf,2
69,259,artsurf,3
70,275,artsurf,2
71,245,artsurf,2
72,310,artsurf,3
73,240,artsurf,2
74,557,artsurf,9
75,240,artsurf,2
76,535,artsurf,10
77,521,artsurf,10
78,635,artsurf,11
79,540,artsurf,9
80,617,artsurf,12
81,602,artsurf,11
82,580,artsurf,9
83,565,artsurf,11
84,615,artsurf,9
85,600,artsurf,11
86,643,artsurf,12
87,267,artsurf,2
88,260,artsurf,2
89,565,artsurf,11
90,660,artsurf,14
91,462,artsurf,7
92,556,artsurf,5
93,560,artsurf,9
94,535,artsurf,10
95,836,artsurf,13
96,515,artsurf,8
97,610,artsurf,8
98,725,artsurf,12
99,681,artsurf,11
100,602,artsurf,8
101,590,artsurf,10
102,622,artsurf,11
103,751,artsurf,14
104,705,artsurf,10
105,790,artsurf,18
106,733,artsurf,
107,765,artsurf,12
108,715,artsurf,12
109,1066,artsurf,14
110,938,artsurf,17
111,640,artsurf,
112,630,artsurf,11
113,630,artsurf,12
114,585,artsurf,11
115,695,artsurf,9
116,675,artsurf,12
117,642,artsurf,13
118,880,artsurf,17
119,900,artsurf,16
120,936,artsurf,15
121,964,artsurf,14
122,952,artsurf,14
123,940,artsurf,15
124,876,artsurf,13
125,876,artsurf,12
126,970,artsurf,15
1,550,basal,8
2,485,basal,8
3,525,basal,8
4,413,basal,4
5,560,basal,10
6,468,basal,7
7,521,basal,7
8,450,basal,6
9,465,basal,7
10,545,basal,10
11,290,basal,2
12,594,basal,8
13,402,basal,4
14,472,basal,8
15,471,basal,7
16,277,basal,3
17,535,basal,7
18,651,basal,11
19,540,basal,10
20,606,basal,8
21,579,basal,8
22,391,basal,4
23,482,basal,7
24,450,basal,8
25,420,basal,4
26,592,basal,10
27,657,basal,9
28,265,basal,2
29,554,basal,7
30,781,basal,9
31,540,basal,8
32,392,basal,4
33,340,basal,4
34,496,basal,8
35,530,basal,9
36,417,basal,4
37,375,basal,4
38,295,basal,3
