id,tl,structure,age,cmgroup
1001,NA,NA,NA,180
1002,NA,NA,NA,200
1003,NA,NA,NA,300
1004,NA,NA,NA,310
1005,NA,NA,NA,380
1006,NA,NA,NA,390
1007,NA,NA,NA,490
1008,NA,NA,NA,530
1009,NA,NA,NA,540
1010,NA,NA,NA,550
1011,NA,NA,NA,640
1012,NA,NA,NA,401
1013,NA,NA,NA,280
1014,NA,NA,NA,300
1015,NA,NA,NA,190
1016,NA,NA,NA,233
1017,NA,NA,NA,240
1018,NA,NA,NA,360
1019,NA,NA,NA,420
1020,NA,NA,NA,590
1021,NA,NA,NA,890
1022,NA,NA,NA,900
1023,NA,NA,NA,240
1024,NA,NA,NA,270
1025,NA,NA,NA,300
1026,NA,NA,NA,370
1027,NA,NA,NA,410
1028,NA,NA,NA,540
1029,NA,NA,NA,210
1030,NA,NA,NA,180
1031,NA,NA,NA,260
1032,NA,NA,NA,270
1033,NA,NA,NA,210
1034,NA,NA,NA,280
1035,NA,NA,NA,300
1036,NA,NA,NA,320
1037,NA,NA,NA,530
1038,NA,NA,NA,539
1039,NA,NA,NA,230
1040,NA,NA,NA,240
1041,NA,NA,NA,260
1042,NA,NA,NA,270
1043,NA,NA,NA,290
1044,NA,NA,NA,240
1045,NA,NA,NA,250
1046,NA,NA,NA,280
1047,NA,NA,NA,590
1048,NA,NA,NA,180
1049,NA,NA,NA,210
1050,NA,NA,NA,270
1051,NA,NA,NA,280
1052,NA,NA,NA,360
1053,NA,NA,NA,470
1054,NA,NA,NA,500
1055,NA,NA,NA,210
1056,NA,NA,NA,240
1057,NA,NA,NA,260
1058,NA,NA,NA,490
1059,NA,NA,NA,530
1060,NA,NA,NA,170
1061,NA,NA,NA,350
1062,NA,NA,NA,360
1063,NA,NA,NA,380
1064,NA,NA,NA,400
1065,NA,NA,NA,430
1066,NA,NA,NA,470
1067,NA,NA,NA,480
1068,NA,NA,NA,540
1069,NA,NA,NA,190
1070,NA,NA,NA,160
1071,NA,NA,NA,300
1072,NA,NA,NA,410
1073,NA,NA,NA,430
1074,NA,NA,NA,450
1075,NA,NA,NA,160
1076,NA,NA,NA,230
1077,NA,NA,NA,250
1078,NA,NA,NA,260
1079,NA,NA,NA,280
1080,NA,NA,NA,290
1081,NA,NA,NA,230
1082,NA,NA,NA,260
1083,NA,NA,NA,490
1084,NA,NA,NA,200
1085,NA,NA,NA,210
1086,NA,NA,NA,240
1087,NA,NA,NA,250
1088,NA,NA,NA,260
1089,NA,NA,NA,310
1090,NA,NA,NA,430
1091,NA,NA,NA,200
1092,NA,NA,NA,440
1093,NA,NA,NA,500
1094,NA,NA,NA,570
1095,NA,NA,NA,590
1096,NA,NA,NA,620
1097,NA,NA,NA,680
1098,NA,NA,NA,760
1099,NA,NA,NA,800
1100,NA,NA,NA,895
1101,NA,NA,NA,210
1102,NA,NA,NA,220
1103,NA,NA,NA,250
1104,NA,NA,NA,290
1105,NA,NA,NA,300
1106,NA,NA,NA,160
1107,NA,NA,NA,200
1108,NA,NA,NA,210
1109,NA,NA,NA,160
1110,NA,NA,NA,230
1111,NA,NA,NA,160
1112,NA,NA,NA,150
1113,NA,NA,NA,250
1114,NA,NA,NA,490
1115,NA,NA,NA,230
1116,NA,NA,NA,280
1117,NA,NA,NA,430
1118,NA,NA,NA,260
1119,NA,NA,NA,440
1120,NA,NA,NA,460
1121,NA,NA,NA,470
1122,NA,NA,NA,480
1123,NA,NA,NA,590
1124,NA,NA,NA,438
1125,NA,NA,NA,270
1126,NA,NA,NA,290
1127,NA,NA,NA,310
1128,NA,NA,NA,240
1129,NA,NA,NA,250
1130,NA,NA,NA,540
1131,NA,NA,NA,250
1132,NA,NA,NA,380
1133,NA,NA,NA,400
1134,NA,NA,NA,410
1135,NA,NA,NA,420
1136,NA,NA,NA,460
1137,NA,NA,NA,170
1138,NA,NA,NA,230
1139,NA,NA,NA,240
1140,NA,NA,NA,250
1141,NA,NA,NA,260
1142,NA,NA,NA,270
1143,NA,NA,NA,280
1144,NA,NA,NA,420
1145,NA,NA,NA,440
1146,NA,NA,NA,450
