structure,reg,exp,metric,estimate
artproc,max30,0.02,spr,0.864420771
artproc,max30,0.04,spr,0.745632072
artproc,max30,0.06,spr,0.641771221
artproc,max30,0.08,spr,0.551156582
artproc,max30,0.1,spr,0.472272551
artproc,max30,0.12,spr,0.403755564
artproc,max30,0.14,spr,0.344381088
artproc,max30,0.16,spr,0.293051518
artproc,max30,0.18,spr,0.248784951
artproc,max30,0.2,spr,0.210704774
artproc,max30,0.22,spr,0.178030028
artproc,max30,0.24,spr,0.150066497
artproc,max30,0.26,spr,0.126198477
artproc,max30,0.28,spr,0.105881191
artproc,max30,0.3,spr,0.088633811
artproc,max30,0.32,spr,0.07403304
artproc,max30,0.34,spr,0.061707222
artproc,max30,0.36,spr,0.051330956
artproc,max30,0.38,spr,0.042620164
artproc,max30,0.02,yield,0.123126891
artproc,max30,0.04,yield,0.226278159
artproc,max30,0.06,yield,0.311987756
artproc,max30,0.08,yield,0.382521362
artproc,max30,0.1,yield,0.439900069
artproc,max30,0.12,yield,0.485922379
artproc,max30,0.14,yield,0.522184574
artproc,max30,0.16,yield,0.550099578
artproc,max30,0.18,yield,0.570914383
artproc,max30,0.2,yield,0.585726136
artproc,max30,0.22,yield,0.595496957
artproc,max30,0.24,yield,0.601067575
artproc,max30,0.26,yield,0.603169846
artproc,max30,0.28,yield,0.602438236
artproc,max30,0.3,yield,0.599420324
artproc,max30,0.32,yield,0.594586395
artproc,max30,0.34,yield,0.58833819
artproc,max30,0.36,yield,0.581016856
artproc,max30,0.38,yield,0.572910168
artsurf,max30,0.02,spr,0.857006478
artsurf,max30,0.04,spr,0.733171643
artsurf,max30,0.06,spr,0.626147765
artsurf,max30,0.08,spr,0.533844582
artsurf,max30,0.1,spr,0.454404591
artsurf,max30,0.12,spr,0.386180364
artsurf,max30,0.14,spr,0.327713744
artsurf,max30,0.16,spr,0.277716794
artsurf,max30,0.18,spr,0.235054392
artsurf,max30,0.2,spr,0.198728331
artsurf,max30,0.22,spr,0.167862837
artsurf,max30,0.24,spr,0.141691389
artsurf,max30,0.26,spr,0.119544751
artsurf,max30,0.28,spr,0.100840122
artsurf,max30,0.3,spr,0.085071315
artsurf,max30,0.32,spr,0.071799891
artsurf,max30,0.34,spr,0.060647166
