id,cmgroup
1001,180
1002,200
1003,300
1004,310
1005,380
1006,390
1007,490
1008,530
1009,540
1010,550
1011,640
1012,401
1013,280
1014,300
1015,190
1016,233
1017,240
1018,360
1019,420
1020,590
1021,890
1022,900
1023,240
1024,270
1025,300
1026,370
1027,410
1028,540
1029,210
1030,180
1031,260
1032,270
1033,210
1034,280
1035,300
1036,320
1037,530
1038,539
1039,230
1040,240
1041,260
1042,270
1043,290
1044,240
1045,250
1046,280
1047,590
1048,180
1049,210
1050,270
1051,280
1052,360
1053,470
1054,500
1055,210
1056,240
1057,260
1058,490
1059,530
1060,170
1061,350
1062,360
1063,380
1064,400
1065,430
1066,470
1067,480
1068,540
1069,190
1070,160
1071,300
1072,410
1073,430
1074,450
1075,160
1076,230
1077,250
1078,260
1079,280
1080,290
1081,230
1082,260
1083,490
1084,200
1085,210
1086,240
1087,250
1088,260
1089,310
1090,430
1091,200
1092,440
1093,500
1094,570
1095,590
1096,620
1097,680
1098,760
1099,800
1100,895
1101,210
1102,220
1103,250
1104,290
1105,300
1106,160
1107,200
1108,210
1109,160
1110,230
1111,160
1112,150
1113,250
1114,490
1115,230
1116,280
1117,430
1118,260
1119,440
1120,460
1121,470
1122,480
1123,590
1124,438
1125,270
1126,290
1127,310
1128,240
1129,250
1130,540
1131,250
1132,380
1133,400
1134,410
1135,420
1136,460
1137,170
1138,230
1139,240
1140,250
1141,260
1142,270
1143,280
1144,420
1145,440
1146,450
1147,460
1148,480
1149,490
1150,580
1151,590
1152,180
1153,170
1154,140
1155,310
1156,360
1157,400
1158,460
1159,480
1160,160
1161,170
1162,220
1163,230
1164,250
1165,190
1166,240
1167,290
1168,300
1169,490
1170,940
1171,180
1172,210
1173,260
1174,270
1175,290
1176,350
1177,440
1178,630
1179,150
1180,180
1181,200
1182,280
1183,300
1184,170
1185,210
1186,220
1187,900
1188,250
1189,270
1190,280
1191,390
1192,400
1193,410
1194,430
1195,440
1196,450
1197,150
1198,250
1199,260
1200,280
1201,380
1202,160
1203,170
1204,180
1205,290
1206,300
1207,190
1208,150
1209,200
1210,240
1211,270
1212,280
1213,310
1214,460
1215,480
1216,500
1217,560
1218,170
1219,220
1220,230
1221,240
1222,270
1223,280
1224,290
1225,300
1226,420
1227,450
1228,510
1229,890
1230,1170
1231,240
1232,540
1233,220
1234,240
1235,250
1236,520
1237,190
1238,180
1239,170
1240,160
1241,230
1242,250
1243,590
1244,220
1245,180
1246,200
1247,220
1248,230
1249,280
1250,460
1251,200
1252,310
1253,170
1254,180
1255,210
1256,250
1257,270
1258,280
1259,450
1260,480
1261,520
1262,560
1263,570
1264,600
1265,740
1266,950
1267,180
1268,150
1269,220
1270,910
1271,280
1272,510
1273,530
1274,560
1275,1100
1276,980
1277,230
1278,240
1279,250
1280,280
1281,260
1282,300
1283,520
1284,160
1285,220
1286,230
1287,530
1288,670
1289,770
1290,210
1291,250
1292,190
1293,200
1294,250
1295,260
1296,270
1297,280
1298,310
1299,460
1300,180
1301,170
1302,190
1303,160
1304,220
1305,230
1306,250
1307,280
1308,240
1309,630
1310,970
1311,210
1312,280
1313,390
1314,160
1315,290
1316,300
1317,290
1318,300
1319,310
1320,170
1321,190
1322,280
1323,290
1324,190
1325,220
1326,250
1327,280
1328,570
1329,620
1330,780
1331,170
1332,240
1333,270
1334,290
1335,230
1336,460
1337,230
1338,260
1339,290
1340,410
1341,650
1342,310
1343,460
1344,230
1345,230
1346,290
1347,210
1348,240
1349,250
1350,270
1351,400
1352,230
1353,240
1354,260
1355,290
1356,300
1357,460
1358,510
1359,560
1360,570
1361,580
1362,220
1363,230
1364,250
1365,620
1366,660
1367,900
1368,950
1369,970
1370,210
1371,220
1372,250
1373,260
1374,460
1375,210
1376,240
1377,270
1378,310
1379,460
1380,240
1381,250
1382,260
1383,280
1384,300
1385,390
1386,440
1387,490
1388,230
1389,250
1390,270
1391,280
1392,300
1393,390
1394,410
1395,430
1396,450
1397,490
1398,550
1399,210
1400,230
1401,240
1402,290
1403,310
1404,410
1405,490
1406,500
1407,510
1408,550
1409,570
1410,600
1411,610
1412,730
1413,200
1414,230
1415,260
1416,290
1417,300
1418,330
1419,360
1420,550
1421,160
1422,260
1423,290
1424,410
1425,440
1426,230
1427,260
1428,280
1429,300
1430,370
1431,180
1432,220
1433,240
1434,270
1435,280
1436,300
1437,460
1438,330
1439,340
1440,380
1441,410
1442,430
1443,440
1444,490
1445,510
1446,540
1447,590
1448,640
1449,150
1450,281
1451,240
1452,280
1453,350
1454,390
1455,410
1456,450
1457,470
1458,510
1459,520
1460,540
1461,550
1462,200
1463,250
1464,290
1465,300
1466,330
1467,400
1468,440
1469,190
1470,170
1471,160
1472,240
1473,260
1474,300
1475,330
1476,410
1477,440
1478,460
1479,530
1480,170
1481,180
1482,160
1483,140
1484,300
1485,310
1486,440
1487,260
1488,280
1489,310
1490,410
1491,470
1492,980
1493,230
1494,250
1495,270
1496,280
1497,310
1498,320
1499,380
1500,410
1501,430
1502,540
1503,180
1504,230
1505,240
1506,260
1507,290
1508,300
1509,310
1510,330
1511,410
1512,440
1513,450
1514,480
1515,500
1516,590
1517,170
1518,210
1519,270
1520,330
1521,430
1522,560
1523,280
1524,290
1525,310
1526,320
1527,340
1528,400
1529,430
1530,640
1531,240
1532,280
1533,410
1534,450
1535,170
1536,260
1537,290
1538,310
1539,390
1540,420
1541,470
1542,490
1543,520
1544,550
1545,180
1546,210
1547,320
1548,410
1549,540
1550,1000
1551,798
1552,240
1553,270
1554,290
1555,300
1556,320
1557,400
1558,680
1559,230
1560,240
1561,250
1562,380
1563,420
1564,430
1565,480
1566,580
1567,240
1568,300
1569,330
1570,430
1571,450
1572,470
1573,560
1574,150
1575,160
1576,230
1577,240
1578,260
1579,460
1580,540
1581,190
1582,220
1583,240
1584,250
1585,400
1586,410
1587,420
1588,430
1589,450
1590,480
1591,560
1592,220
1593,230
1594,240
1595,250
1596,300
1597,330
1598,480
1599,500
1600,170
1601,210
1602,260
1603,330
1604,410
1605,430
1606,210
1607,280
1608,430
1609,220
1610,240
1611,250
1612,300
1613,330
1614,440
1615,180
1616,260
1617,270
1618,410
1619,420
1620,430
1621,290
1622,650
1623,210
1624,210
1625,210
1626,210
1627,210
1628,210
1629,220
1630,220
1631,220
1632,220
1633,220
1634,220
1635,220
1636,220
1637,220
1638,220
1639,220
1640,220
1641,220
1642,220
1643,220
1644,220
1645,220
1646,230
1647,230
1648,230
1649,230
1650,230
1651,230
1652,230
1653,230
1654,230
1655,230
1656,230
1657,230
1658,230
1659,230
1660,230
1661,240
1662,240
1663,240
1664,240
1665,240
1666,240
1667,240
1668,240
1669,240
1670,240
1671,240
1672,240
1673,240
1674,240
1675,250
1676,250
1677,250
1678,250
1679,250
1680,250
1681,250
1682,250
1683,250
1684,250
1685,260
1686,260
1687,260
1688,260
1689,260
1690,260
1691,260
1692,270
1693,270
1694,270
1695,270
1696,270
1697,270
1698,270
1699,270
1700,270
1701,270
1702,270
1703,270
1704,270
1705,270
1706,270
1707,270
1708,270
1709,270
1710,280
1711,280
1712,280
1713,280
1714,280
1715,280
1716,280
1717,280
1718,280
1719,290
1720,290
1721,400
1722,400
1723,430
1724,430
1725,430
1726,460
1727,460
1728,460
1729,460
1730,480
1731,480
1732,480
1733,200
1734,200
1735,200
1736,200
1737,210
1738,210
1739,210
1740,210
1741,210
1742,210
1743,210
1744,210
1745,210
1746,210
1747,210
1748,210
1749,210
1750,210
1751,210
1752,220
1753,220
1754,220
1755,220
1756,220
1757,220
1758,220
1759,220
1760,220
1761,220
1762,220
1763,220
1764,220
1765,220
1766,220
1767,220
1768,220
1769,220
1770,220
1771,220
1772,220
1773,220
1774,230
1775,230
1776,230
1777,230
1778,230
1779,230
1780,230
1781,230
1782,230
1783,230
1784,230
1785,230
1786,230
1787,230
1788,230
1789,230
1790,230
1791,230
1792,230
1793,230
1794,240
1795,240
1796,240
1797,240
1798,240
1799,250
1800,250
1801,250
1802,260
1803,260
1804,260
1805,260
1806,260
1807,260
1808,270
1809,270
1810,270
1811,270
1812,270
1813,290
1814,290
1815,290
1816,160
1817,160
1818,170
1819,170
1820,170
1821,170
1822,170
1823,180
1824,180
1825,230
1826,230
1827,430
1828,430
1829,220
1830,220
1831,170
1832,170
1833,220
1834,220
1835,230
1836,230
1837,230
1838,240
1839,240
1840,240
1841,240
1842,220
1843,220
1844,230
1845,230
1846,270
1847,270
1848,280
1849,280
1850,280
1851,290
1852,290
1853,210
1854,210
1855,220
1856,220
1857,220
1858,220
1859,220
1860,220
1861,220
1862,220
1863,220
1864,220
1865,220
1866,230
1867,230
1868,230
1869,230
1870,230
1871,230
1872,230
1873,230
1874,230
1875,230
1876,230
1877,230
1878,230
1879,240
1880,240
1881,240
1882,240
1883,250
1884,250
1885,250
1886,250
1887,250
1888,250
1889,250
1890,250
1891,260
1892,260
1893,260
1894,260
1895,260
1896,260
1897,260
1898,270
1899,270
1900,270
1901,270
1902,270
1903,270
1904,270
1905,270
1906,270
1907,270
1908,280
1909,280
1910,280
1911,280
1912,280
1913,280
1914,280
1915,280
1916,290
1917,290
1918,290
1919,290
1920,300
1921,300
1922,300
1923,330
1924,330
1925,440
1926,440
1927,440
1928,440
1929,180
1930,180
1931,180
1932,220
1933,220
1934,230
1935,230
1936,250
1937,250
1938,270
1939,270
1940,270
1941,270
1942,280
1943,280
1944,280
1945,290
1946,290
1947,390
1948,390
1949,420
1950,420
1951,220
1952,220
1953,220
1954,220
1955,240
1956,240
1957,170
1958,170
1959,180
1960,180
1961,180
1962,220
1963,220
1964,220
1965,220
1966,220
1967,220
1968,220
1969,220
1970,220
1971,220
1972,220
1973,230
1974,230
1975,270
1976,270
1977,280
1978,280
1979,210
1980,210
1981,210
1982,220
1983,220
1984,220
1985,220
1986,220
1987,220
1988,220
1989,220
1990,220
1991,220
1992,220
1993,220
1994,230
1995,230
1996,230
1997,230
1998,230
1999,230
2000,230
2001,230
2002,240
2003,240
2004,240
2005,240
2006,240
2007,240
2008,240
2009,240
2010,240
2011,250
2012,250
2013,250
2014,250
2015,250
2016,260
2017,260
2018,260
2019,260
2020,260
2021,260
2022,260
2023,270
2024,270
2025,270
2026,270
2027,270
2028,270
2029,270
2030,270
2031,270
2032,270
2033,270
2034,270
2035,270
2036,270
2037,280
2038,280
2039,280
2040,280
2041,280
2042,290
2043,290
2044,530
2045,530
2046,230
2047,230
2048,230
2049,270
2050,270
2051,270
2052,280
