id,tl,a1,a2,a3,consage
1,550,7,6,6,6
2,485,8,8,8,8
3,525,9,8,8,8
4,413,5,4,4,4
5,560,9,9,10,9
6,468,8,8,8,8
7,521,7,6,8,6
8,450,7,6,5,6
9,465,8,8,8,8
10,545,9,9,9,9
11,290,3,3,2,2
12,594,7,7,6,8
13,402,7,7,4,4
14,472,8,4,5,4
15,471,6,5,4,4
16,277,2,2,1,2
17,535,7,6,6,6
18,651,11,10,11,10
19,540,8,8,7,7
20,606,8,9,8,8
21,579,9,8,9,8
22,391,3,3,3,3
23,482,7,7,6,7
24,450,8,7,7,7
25,420,3,3,3,3
26,592,10,10,8,10
27,657,8,10,8,9
28,265,2,2,2,2
29,554,7,7,6,7
30,781,11,10,12,11
31,540,6,6,5,5
32,392,3,4,3,3
33,340,3,3,3,3
34,496,7,8,6,7
35,530,8,7,8,6
36,417,4,3,3,3
37,375,,,,
38,295,3,3,2,2
39,529,8,7,7,7
40,340,3,3,3,3
41,445,6,6,5,5
42,375,2,2,2,2
43,482,7,7,6,6
44,476,7,6,7,7
45,309,3,3,3,3
46,380,3,3,3,3
47,296,3,3,2,2
48,457,7,6,6,6
49,364,4,4,3,3
50,412,4,4,3,3
51,354,3,3,3,3
52,309,3,3,3,3
53,327,4,4,3,3
54,345,4,4,3,3
55,327,4,4,4,4
56,271,2,2,2,2
57,755,9,9,8,8
58,555,7,7,7,7
59,277,2,1,1,1
60,508,7,7,7,7
61,672,8,10,11,11
62,335,3,3,2,2
63,380,3,3,3,3
64,370,4,3,3,3
65,322,3,3,2,2
66,390,4,3,3,3
67,296,2,2,2,2
68,278,3,1,1,1
69,259,2,2,2,2
70,275,2,2,2,2
71,245,2,1,1,1
72,310,,,,
73,240,2,2,2,2
74,557,8,8,7,8
75,240,2,2,2,2
76,535,8,6,6,6
77,521,9,8,9,7
78,635,10,11,13,11
79,540,8,7,8,8
80,617,10,11,11,11
81,602,9,10,8,9
82,580,9,9,10,8
83,565,8,8,8,8
84,615,7,8,8,8
85,600,8,7,8,10
86,643,9,8,10,11
87,267,3,2,2,3
88,260,2,1,1,2
89,565,8,6,7,6
90,660,8,7,11,10
91,462,6,6,6,6
92,556,6,6,4,6
93,560,9,9,9,9
94,535,9,8,9,8
95,836,13,12,14,13
96,515,9,7,7,7
97,610,10,8,8,9
98,725,11,10,10,12
99,681,10,9,9,9
100,602,10,8,10,10
101,590,10,9,8,9
102,622,11,11,11,11
103,751,14,15,16,16
104,705,9,7,7,7
105,790,16,17,17,18
106,733,11,14,10,13
107,765,10,10,9,9
108,715,11,10,9,9
109,1066,15,16,15,15
110,938,16,16,15,17
111,640,,,,
112,630,10,8,9,9
113,630,9,10,7,9
114,585,11,10,9,10
115,695,10,10,13,11
116,675,11,10,10,10
117,642,8,7,6,7
118,880,14,13,12,12
119,900,16,15,14,15
120,936,15,13,12,13
121,964,15,13,13,13
122,952,13,12,12,12
123,940,11,10,9,10
124,876,13,12,11,12
125,876,10,10,9,9
126,970,12,14,12,11
