id,tl,a1,a2,a3,consage
1,550,9,8,9,9
2,485,9,9,9,9
3,525,9,9,9,9
4,413,5,4,4,4
5,560,10,10,11,10
6,468,8,8,7,8
7,521,8,9,6,9
8,450,9,9,8,8
9,465,8,8,8,8
10,545,11,10,9,10
11,290,3,3,3,3
12,594,10,8,8,9
13,402,4,4,4,4
14,472,9,9,7,8
15,471,7,6,5,6
16,277,4,3,3,3
17,535,8,8,8,8
18,651,12,12,13,13
19,540,9,9,9,9
20,606,11,10,11,11
21,579,8,8,6,8
22,391,5,4,4,4
23,482,8,6,6,7
24,450,8,8,8,8
25,420,4,4,4,4
26,592,10,10,8,10
27,657,12,11,12,11
28,265,3,2,2,3
29,554,9,9,8,9
30,781,11,13,12,11
31,540,8,8,8,8
32,392,4,4,4,4
33,340,4,4,4,4
34,496,9,9,9,9
35,530,9,10,11,9
36,417,4,4,4,4
37,375,4,4,3,4
38,295,3,3,3,3
39,529,8,8,8,8
40,340,4,4,4,4
41,445,7,7,7,7
42,375,4,4,3,4
43,482,8,7,8,8
44,476,8,8,8,8
45,309,3,3,3,3
46,380,4,4,4,4
47,296,3,3,3,3
48,457,8,8,8,8
49,364,4,4,4,4
50,412,4,4,4,4
51,354,4,4,4,4
52,309,3,3,3,3
53,327,4,3,4,3
54,345,4,4,4,4
55,327,4,4,4,4
56,271,2,2,2,2
57,755,12,12,12,12
58,555,8,7,7,8
59,277,2,2,2,2
60,508,9,8,8,8
61,672,11,12,11,11
62,335,3,3,3,3
63,380,4,4,4,4
64,370,4,4,4,4
65,322,3,3,3,3
66,390,4,4,4,4
67,296,2,2,2,2
68,278,2,2,2,2
69,259,3,2,3,3
70,275,2,2,2,2
71,245,2,2,2,2
72,310,3,3,3,3
73,240,2,2,2,2
74,557,9,8,8,9
75,240,2,2,2,2
76,535,10,11,9,10
77,521,10,10,10,10
78,635,11,12,10,11
79,540,9,9,8,9
80,617,13,12,14,12
81,602,11,11,11,11
82,580,10,11,9,9
83,565,10,12,11,11
84,615,9,9,9,9
85,600,11,11,10,11
86,643,12,12,12,12
87,267,2,2,2,2
88,260,2,2,2,2
89,565,11,10,11,11
90,660,11,14,14,14
91,462,7,7,7,7
92,556,5,6,5,5
93,560,9,9,9,9
94,535,10,10,10,10
95,836,13,13,14,13
96,515,9,9,8,8
97,610,8,8,8,8
98,725,12,11,11,12
99,681,10,11,11,11
100,602,9,10,8,8
101,590,10,9,10,10
102,622,11,14,13,11
103,751,14,14,14,14
104,705,11,10,9,10
105,790,16,16,17,18
106,733,13,12,10,
107,765,12,13,12,12
108,715,12,11,11,12
109,1066,14,15,15,14
110,938,17,17,17,17
111,640,,,,
112,630,12,12,11,11
113,630,11,11,12,12
114,585,11,11,11,11
115,695,11,10,10,9
116,675,13,12,12,12
117,642,13,11,12,13
118,880,16,17,15,17
119,900,16,16,17,16
120,936,15,15,14,15
121,964,15,14,14,14
122,952,14,14,14,14
123,940,16,16,15,15
124,876,15,13,13,13
125,876,15,13,11,12
126,970,16,16,15,15
