id,tl,a1,a2,a3,consage
1,550,8,7,7,8
2,485,8,8,7,8
3,525,9,9,6,8
4,413,5,5,4,4
5,560,10,8,10,10
6,468,8,7,7,7
7,521,7,7,7,7
8,450,7,9,6,6
9,465,7,7,7,7
10,545,9,10,9,10
11,290,3,3,2,2
12,594,8,8,7,8
13,402,5,4,4,4
14,472,8,8,8,8
15,471,7,7,6,7
16,277,3,3,3,3
17,535,7,7,7,7
18,651,12,12,11,11
19,540,10,10,10,10
20,606,9,11,8,8
21,579,9,8,8,8
22,391,4,4,4,4
23,482,7,7,6,7
24,450,8,9,8,8
25,420,4,5,4,4
26,592,10,10,10,10
27,657,9,9,10,9
28,265,2,2,2,2
29,554,7,8,7,7
30,781,10,10,9,9
31,540,8,8,8,8
32,392,4,4,4,4
33,340,4,5,4,4
34,496,9,8,9,8
35,530,10,9,10,9
36,417,4,4,4,4
37,375,4,4,4,4
38,295,3,3,4,3
39,529,8,7,7,8
40,340,4,4,3,4
41,445,8,7,8,8
42,375,4,5,4,4
43,482,8,8,9,8
44,476,8,8,8,8
45,309,3,3,3,3
46,380,4,4,4,4
47,296,3,3,3,3
48,457,8,7,8,8
49,364,4,4,4,4
50,412,4,4,4,4
51,354,4,4,4,4
52,309,5,5,4,4
53,327,3,3,3,3
54,345,4,4,4,4
55,327,4,4,4,4
56,271,3,2,2,2
57,755,10,3,9,10
58,555,7,6,7,7
59,277,3,4,2,2
60,508,9,7,8,8
61,672,9,11,12,12
62,335,3,3,2,3
63,380,5,4,4,4
64,370,3,3,2,3
65,322,2,3,2,2
66,390,4,4,4,4
67,296,2,2,2,2
68,278,2,2,2,2
69,259,3,3,2,2
70,275,2,3,1,2
71,245,2,2,2,2
72,310,4,3,3,3
73,240,2,2,2,2
74,557,10,9,9,9
75,240,2,2,2,2
76,535,10,9,11,10
77,521,10,11,10,9
78,635,9,12,11,12
79,540,9,8,8,9
80,617,12,13,10,12
81,602,10,10,10,10
82,580,8,9,7,9
83,565,9,11,9,9
84,615,8,9,9,10
85,600,9,11,10,11
86,643,10,12,11,11
87,267,2,2,2,2
88,260,2,2,2,2
89,565,8,8,9,8
90,660,10,11,9,10
91,462,8,8,7,8
92,556,5,5,3,5
93,560,8,10,9,9
94,535,9,9,10,10
95,836,12,11,14,12
96,515,8,9,8,8
97,610,7,7,6,6
98,725,9,11,9,11
99,681,10,11,10,10
100,602,10,11,12,10
101,590,10,12,8,11
102,622,9,13,11,10
103,751,14,12,17,15
104,705,9,8,8,9
105,790,15,17,17,18
106,733,13,11,11,11
107,765,11,11,10,11
108,715,11,10,9,11
109,1066,15,14,14,15
110,938,15,16,16,16
111,640,,,,
112,630,10,11,9,11
113,630,10,11,9,11
114,585,11,11,10,10
115,695,9,12,7,8
116,675,12,14,12,13
117,642,10,12,10,10
118,880,15,15,14,13
119,900,16,15,15,16
120,936,13,12,12,12
121,964,12,11,12,12
122,952,12,13,9,11
123,940,15,15,14,14
124,876,13,12,15,15
125,876,10,11,10,10
126,970,13,16,12,14
