id,tl,a1,a2,a3,consage
1,550,9,8,10,9
2,485,8,8,8,8
3,525,9,10,11,10
4,413,4,4,4,4
5,560,9,10,9,9
6,468,8,8,8,8
7,521,7,8,7,8
8,450,6,7,6,6
9,465,9,8,8,9
10,545,10,10,11,10
11,290,3,3,2,3
12,594,7,7,8,7
13,402,3,5,3,3
14,472,9,9,9,9
15,471,7,9,8,8
16,277,3,3,2,3
17,535,7,8,7,7
18,651,14,14,13,14
19,540,10,11,10,10
20,606,13,14,13,13
21,579,12,11,12,12
22,391,4,4,4,4
23,482,7,8,8,7
24,450,7,7,7,7
25,420,4,5,4,4
26,592,9,10,10,10
27,657,15,15,14,14
28,265,2,3,2,2
29,554,9,8,8,8
30,781,16,14,14,15
31,540,9,7,8,7
32,392,4,4,2,2
33,340,4,4,4,4
34,496,8,8,8,8
35,530,14,13,13,14
36,417,4,4,3,3
37,375,4,4,4,4
38,295,3,5,2,3
39,529,9,8,8,8
40,340,4,4,4,4
41,445,7,8,7,8
42,375,4,4,4,4
43,482,8,8,6,7
44,476,6,8,5,
45,309,3,3,2,3
46,380,4,4,4,4
47,296,3,3,3,3
48,457,8,8,7,8
49,364,3,5,3,
50,412,4,4,3,4
51,354,3,3,3,3
52,309,3,3,3,3
53,327,3,3,3,3
54,345,4,4,3,4
55,327,4,4,4,4
56,271,3,2,2,2
57,755,,,,
58,555,8,8,8,8
59,277,2,2,2,2
60,508,8,8,8,8
61,672,14,14,13,14
62,335,3,2,2,2
63,380,3,4,3,3
64,370,3,4,4,3
65,322,3,4,3,3
66,390,4,4,4,4
67,296,2,2,2,2
68,278,1,2,1,1
69,259,2,2,1,2
70,275,2,3,2,2
71,245,2,3,2,1
72,310,3,3,3,3
73,240,2,2,2,2
74,557,10,10,9,10
75,240,2,3,2,2
76,535,11,11,10,11
77,521,9,10,10,10
78,635,14,14,14,14
79,540,10,11,9,10
80,617,13,13,13,13
81,602,13,13,14,13
82,580,9,9,9,9
83,565,8,10,10,9
84,615,13,13,11,12
85,600,12,14,14,14
86,643,13,13,14,13
87,267,2,2,2,2
88,260,2,2,2,2
89,565,9,10,10,9
90,660,,,,
91,462,7,8,8,7
92,556,7,7,7,7
93,560,13,13,13,13
94,535,12,11,12,11
95,836,14,12,13,14
96,515,7,7,7,7
97,610,15,14,14,14
98,725,14,13,13,14
99,681,10,10,10,10
100,602,14,14,12,14
101,590,10,10,11,10
102,622,13,14,13,14
103,751,15,16,15,18
104,705,,,,
105,790,19,18,19,19
106,733,14,14,12,14
107,765,13,14,14,14
108,715,13,11,12,13
109,1066,18,17,18,19
110,938,19,19,21,19
111,640,13,15,15,14
112,630,13,13,13,13
113,630,,,,
114,585,13,11,11,11
115,695,13,11,12,11
116,675,14,14,15,14
117,642,14,15,14,15
118,880,18,17,19,18
119,900,17,16,15,16
120,936,17,16,16,17
121,964,15,13,13,13
122,952,,,,
123,940,17,17,17,17
124,876,18,18,17,18
125,876,14,14,12,13
126,970,18,17,17,18
